"","Sample","uniquely_mapped","total_reads","exon_sums","intron_sums","spike_in_sums","intergenic","unmapped","genomic","exon_pct","intron_pct","spike_in_pct","intergenic_pct","genomic_pct","FTC","FTC_simple","num_genes_cpm_10","num_genes_exon_cpm_10","num_genes_exon_tpm_5","num_genes_exon_tpm_5_resids","num_genes_bardy_tpm_5","cap"
"1","C003",13248030,16432898,1275719,1191040,5867946,4913325,3184868,6104365,9.62949963126593,8.99031780574168,44.2929703510635,37.0872122119289,46.0775300176706,1,1,2785,1731,1752,-1603.65408491398,1916,19.9017330952629
"2","C004",11744611,16280874,2486561,917882,3891514,4448654,4536263,5366536,21.1719315352377,7.81534611916904,33.1344648196522,37.878257525941,45.6936036451101,5.1,5,4838,3559,3551,188.933270809863,3425,36.0172158610043
"3","C013",11648467,23527158,4769053,2655797,487,4223130,11878691,6878927,40.9414646579674,22.7995409181311,0.00418080765477552,36.2548136162467,59.0543545343778,4.1,4,4890,3258,3369,-486.793323816974,3039,19.2471223601007
"4","C014",849404,19220502,367643,154117,243,327401,18371098,481518,43.2824662940132,18.1441340045491,0.0286082947572651,38.5447914066804,56.6889254112295,5.1,5,2642,2044,1970,-1724.47612757794,NA,NA
"5","C016",17926895,26416118,8315623,3856643,1903,5752726,8489223,9609369,46.3862983522802,21.5131677850515,0.010615335226764,32.0899185274416,53.603086312493,3,3,5681,3490,3671,-202.94253744279,2608,24.2259180600157
"6","C022",15486025,30588304,7427992,2929674,747,5127612,15102279,8057286,47.9657755944473,18.9181794553476,0.00482370395243453,33.1112212462527,52.0294007016003,5.1,5,7149,5463,5615,1646.18802685868,NA,NA
"7","C024",7327417,12724273,2942045,1660396,431,2724545,5396856,4384941,40.1511883382644,22.6600451427836,0.00588201817912096,37.1828845007729,59.8429296435565,4,4,5874,4340,4379,812.578414091218,4283,18.0163245066219
"8","C028",14381105,23522514,4589040,4458953,2991,5330121,9141409,9789074,31.9102043966719,31.0056355196628,0.020798123649052,37.0633619600163,68.0689974796791,2,2,5854,3149,3283,-514.114269786707,2692,38.3169154383543
"9","C042",4299578,8978781,1630837,1212192,7504,1449045,4679203,2661237,37.9301643091485,28.1932785031461,0.174528756077922,33.7020284316275,61.8953069347736,2,2,3496,2102,2190,-1095.5444470143,2193,18.2382437406715
"10","C044",11875933,16241778,6463823,2411297,313390,2687423,4365845,5098720,54.4279173686817,20.3040636891434,2.63886635264783,22.6291525895271,42.9332162786705,1,1,3845,2571,2710,-743.385744489687,2172,39.252652900104
"11","C045",10883999,13323244,4877823,2103924,23780,3878472,2439245,5982396,44.8164594649448,19.3304317650158,0.218485870864192,35.6346228991752,54.965054664191,2,2,4617,3221,3372,-83.1336332053779,2896,14.2268398799978
"12","C046",12587827,14969212,6288771,1912783,38629,4347644,2381385,6260427,49.9591470394374,15.1954979997739,0.306875841239318,34.5384791195494,49.7339771193233,2.1,2,4626,3446,3631,135.794782896899,3110,35.952997146122
"13","C053",19311977,32908583,8620143,3546379,62616,7082839,13596606,10629218,44.6362534503847,18.3636248116907,0.324234023269601,36.675887714655,55.0395125263457,1.1,1,5691,3260,3553,-295.080860549384,2699,17.1519268356856
"14","C055",10479955,15041433,4744478,1957459,17366,3760652,4561478,5718111,45.271931034055,18.6781240949985,0.165706818397598,35.8842380525489,54.5623621475474,2.1,2,4525,3153,3429,-90.8776127347469,2963,12.4909178008859
"15","C057",16793006,22406295,8570887,1983731,40000,6198388,5613289,8182119,51.0384323092602,11.8128404170165,0.238194400692765,36.9105328730306,48.7233732900471,1,1,2848,2024,2179,-1507.16981170973,1664,6.12227267903592
"16","C060",3752328,4232998,1549715,730208,8481,1463924,480670,2194132,41.3000942348324,19.4601324830878,0.226019686978324,39.0137535951015,58.4738860781893,5,5,5321,3951,3857,919.660773161804,4103,34.4643592432198
"17","C061",2098345,4733079,868345,403750,3585,822665,2634734,1226415,41.3823751575647,19.2413544960433,0.170848930943196,39.2054214154488,58.4467759114922,5.1,5,4653,3504,3384,386.134538525808,4116,46.905716643559
"18","C063",1586381,4132335,462005,303301,5412,815663,2545954,1118964,29.1232055855434,19.1190514762847,0.341153859003606,51.4165890791682,70.5356405554529,2,2,3802,2195,2032,-879.46094140795,2993,61.1221851144411
"19","C086",2478186,4807978,1119401,427218,11022,920545,2329792,1347763,45.1701768955195,17.2391418561803,0.444760804879053,37.1459204434211,54.3850622996014,3,3,3966,3024,2956,-13.9986607789389,3323,24.1735072601993
"20","C098",5165193,5793625,2206786,918621,13298,2026488,628432,2945109,42.7241731335112,17.7848339839383,0.257454077708229,39.2335388048423,57.0183727887806,5.1,5,4121,2780,2913,-160.975703559041,2692,38.1319400492083
"21","C099",5210306,5923082,2295658,1005132,5091,1904425,712776,2909557,44.0599458074056,19.2912278088849,0.0977101920693334,36.5511161916402,55.8423440005251,5.1,5,5738,4155,4146,1026.68731653375,4051,17.9688785309701
"22","C100",3146295,4667086,1582486,500323,13314,1050172,1520791,1550495,50.2968094218756,15.9019735911604,0.42316438859039,33.3780525983736,49.280026189534,5.1,5,2826,2022,2066,-892.417452915884,2039,35.3890856225964
"23","C101",4191315,5178405,1747264,790931,53444,1599676,987090,2390607,41.6877280757948,18.8707124136458,1.27511294188101,38.1664465686783,57.0371589823242,1,1,3033,2000,2094,-870.971711313391,2136,11.7705759321021
"24","C105",4584940,5539480,1906767,757220,1,1920952,954540,2678172,41.5876107429977,16.5153742469912,2.18105362338438e-05,41.8969931994748,58.412367446466,2,2,3952,2377,2444,-952.179697359408,2468,16.8129768017057
"25","C107",3789848,4318596,1770590,634176,36,1385046,528748,2019222,46.7192879503347,16.7335470974034,0.000949906170379392,36.5462150460916,53.2797621434949,3,3,4153,2977,2963,-183.192791838925,3027,13.0340919001498
"26","C110",906019,4561603,366503,199267,160,340089,3655584,539356,40.4520214255992,21.9936888740744,0.0176596738037503,37.5366300265226,59.530318900597,5.1,5,3181,2374,2210,-854.121267964989,3514,59.8609332445696
"27","C111",5054797,6309170,2736351,548243,69,1770134,1254373,2318377,54.1337466173221,10.8459944088754,0.00136503998083405,35.0188939338217,45.864888342697,5.1,5,3523,2684,2717,-586.728867311798,2337,111.197218022024
"28","C115",5009644,6758679,2325351,923900,119,1760274,1749035,2684174,46.4174899453933,18.4424282444022,0.00237541829319608,35.1377063919113,53.5801346363135,5.1,5,7162,5480,5470,2155.49677823739,5304,71.0522661644774
"29","C116",1496107,5588946,366380,120795,379077,629855,4092839,750650,24.4888901662782,8.07395460351432,25.3375594125286,42.0995958176788,50.1735504211931,4,4,2418,1870,1837,-1053.17729556867,2783,22.7328577335173
"30","C119",4934301,5510745,1720282,497967,707683,2008369,576444,2506336,34.8637426050823,10.0919461540753,14.3421124896921,40.7021987511504,50.7941449052257,5.1,5,5044,4019,4024,1119.38810316786,4104,45.0191552698979
"31","C124",10919723,12394827,2956821,966296,2472730,4523876,1475104,5490172,27.0778022482805,8.84908893751243,22.6446220293317,41.4284867848754,50.2775757223878,5.1,5,4885,3677,3689,435.891948028857,3354,20.2588915369706
"32","C125",11603950,14926355,300608,103305,5632990,5567047,3322405,5670352,2.5905661434253,0.890257196902779,48.5437286441255,47.9754480155464,48.8657052124492,4.1,4,2117,1575,1481,-1827.98771438012,2395,81.786226637238
"33","C129",2800202,15670674,1358163,369707,232821,839511,12870472,1209218,48.5023223324603,13.2028689358839,8.31443588712529,29.9803728445305,43.1832417804144,0,0,5250,4717,4572,1176.6518553801,5339,NA
"34","C130",12472013,15011645,4327901,949378,2164027,5030707,2539632,5980085,34.7009019313883,7.61206711378508,17.3510643390125,40.3359666158141,47.9480337295992,0,0,4637,3873,3939,589.873852788999,3779,NA
"35","C132",13279098,16797974,1938049,436083,4892763,6012203,3518876,6448286,14.5947337688147,3.28398058362097,36.8455974946491,45.2756881529152,48.5596687365362,0,0,1944,1576,1690,-1682.27600771994,1712,NA
"36","C133",10948226,13869773,3034382,1329382,2019081,4565381,2921547,5894763,27.7157413447622,12.1424420723504,18.4420836763874,41.6997329065001,53.8421749788505,3.1,3,4480,3305,3275,-36.257214522324,3049,54.433285625957
"37","C155",11109465,12209786,1786062,725312,3728499,4869592,1100321,5594904,16.0769397986312,6.52877523805152,33.5614631307628,43.8328218325545,50.361597070606,4.1,4,4362,3148,3096,-135.9629470935,3145,17.6347614353751
"38","C156",7143316,15371434,624005,268485,2941946,3308880,8228118,3577365,8.7355088309127,3.75854855084109,41.1845983014051,46.3213443168411,50.0798928676822,2.1,2,2505,1727,1718,-1610.22863302718,2073,19.6757730961783
"39","C158",5201597,17020219,231882,49290,2446007,2474418,11818622,2523708,4.45790014105283,0.947593594813285,47.0241543126082,47.5703519515257,48.5179455463389,4.1,4,1156,1006,993,-2376.28940790194,1549,29.2454788073308
"40","C165",4161369,8418847,1357296,320381,796998,1686694,4257478,2007075,32.616574016868,7.69893273103154,19.1523030041316,40.5321902479689,48.2311229790004,5.1,5,4758,3952,4127,1042.03568536584,4524,19.0418812709232
"41","C166",6842611,9381479,1565497,748614,1628189,2900311,2538868,3648925,22.8786496850398,10.9404728692015,23.7948496560743,42.3860277896844,53.3265006588859,5.1,5,5294,3997,4156,1030.18764608636,NA,NA
"42","C167",1618345,9549825,465034,151965,328743,672603,7931480,824568,28.7351584489092,9.39014857771365,20.3135301805239,41.5611627928532,50.9513113705668,5.1,5,3544,2947,2900,-239.601585740405,4506,64.111338307918
"43","C168",5994026,7490778,1620241,671985,1229632,2472168,1496752,3144153,27.0309304630978,11.2109123317116,20.5142920634645,41.2438651417261,52.4547774734377,4.1,4,4499,3333,3461,431.164367038602,3495,73.2122523829558
"44","C169",1997675,9568638,413078,193803,591337,799457,7570963,993260,20.6779381030448,9.70142790994531,29.6012614664548,40.0193725205551,49.7208004305005,5.1,5,2461,1956,1952,-1174.73759038789,2817,60.191892668124
"45","C172",4716580,7703607,917561,588346,1036720,2173953,2987027,2762299,19.4539475637008,12.4739959886189,21.980333207536,46.0917232401443,58.5657192287632,5.1,5,6300,3947,3838,798.063632782748,4603,20.6722588821618
"46","C174",7758103,9315651,1544379,654748,2227713,3331263,1557548,3986011,19.906657594002,8.43953734566298,28.7146613031562,42.9391437571788,51.3786811028418,5.1,5,4251,3160,3257,141.223337989961,3399,69.8284866261858
"47","C175",3587861,12820959,959917,316157,818962,1492825,9233098,1808982,26.7545760552039,8.81185196416472,22.8259121521151,41.6076598285162,50.4195117926809,5.1,5,4641,3800,3732,463.95494238565,4570,52.3059324386379
"48","C176",7722422,8597409,682433,405255,2977094,3657640,874987,4062895,8.83703325200306,5.24777071234905,38.5512990613567,47.3638969742912,52.6116676866403,3,3,3501,2354,2334,-734.871924487831,2800,20.1090826625017
"49","C179",5663674,9170224,825789,398053,1867800,2572032,3506550,2970085,14.5804472503184,7.02817640987105,32.9785930475518,45.4127832922587,52.4409597021297,5.1,5,4243,3126,3108,4.36789880831776,3807,40.1818330959765
"50","C188",15849454,17946650,4832779,1756870,2730524,6529281,2097196,8286151,30.4917696218431,11.0847351587001,17.2278742220394,41.1956209974173,52.2803561561174,4.1,4,5736,4271,4379,949.162543709801,3819,58.7304682018855
"51","C189",6444479,7368617,999535,157040,2341789,2946115,924138,3103155,15.5099426966866,2.43681451983938,36.3379103260326,45.7153324574415,48.1521469772809,3.1,3,1963,1672,1727,-1274.5484772829,1825,77.66665829486
"52","C191",9082102,15644261,3174658,1198088,1090199,3619157,6562159,4817245,34.9551018035252,13.191747901532,12.0038180588591,39.8493322360837,53.0410801376157,5.1,5,7158,5612,5654,2272.82289036281,5326,56.8551264326629
"53","C192",6086051,7005212,976867,318683,2048648,2741853,919161,3060536,16.0509170889301,5.23628540082888,33.6613676093086,45.0514299009325,50.2877153017614,4,4,2795,2045,2067,-914.55771235871,2232,18.2686531567488
"54","C194",11539363,15354299,3885221,2144914,881033,4628195,3814936,6773109,33.6692848643378,18.5878024636195,7.63502283444935,40.1078898375933,58.6956923012128,0,0,8205,6436,6550,3160.72711644001,6268,NA
"55","C195",12422555,16894180,5521705,1504485,1515021,3881344,4471625,5385829,44.4490284003573,12.1109143811398,12.1957278514766,31.2443293670263,43.3552437481661,0,0,6614,5381,5575,2159.77353386616,5151,NA
"56","C196",7481863,9127274,3182010,1066732,421540,2811581,1645411,3878313,42.5296480301764,14.2575719443139,5.63415823037658,37.5786217951331,51.836193739447,0,0,8216,6884,6921,3754.95280284586,6705,NA
